rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
24,Ryan,Murray,Ryan Murray,Male,,,https://athxgames.com/storage/profile-photos/uj7OMC5BlKXh3eaJDCqE5Xx2SDCH26L8o4AxSxkQ.png,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
28,Dominik,Gastner,Dominik Gastner,Male,Germany,Gladiators Gym,https://athxgames.com/storage/profile-photos/3DhreOvCND1cxVnKC6Wr0HrdoAfXW4Pet9X2Z6sI.jpg,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
29,Charlie,Marchon,Charlie Marchon,Male,,,https://ui-avatars.com/api/?name=C+M&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
30,Andrew,Hounsell,Andrew Hounsell,Male,,,https://ui-avatars.com/api/?name=A+H&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
30,Dan,Lapping,Dan Lapping,Male,United Kingdom,Distinct Performance,https://ui-avatars.com/api/?name=D+L&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
30,Daniel,Baldwin,Daniel Baldwin,Male,,,https://ui-avatars.com/api/?name=D+B&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
30,Michael,Settle,Michael Settle,Male,United Kingdom,Level Up Gym,https://athxgames.com/storage/profile-photos/srVkZEWigc4R0c3baWVIGUsQtT6zizbULOXijz2r.jpg,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
30,Ben,Butson,Ben Butson,Male,,,https://ui-avatars.com/api/?name=B+B&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
35,Elliot,Wanless,Elliot Wanless,Male,,,https://ui-avatars.com/api/?name=E+W&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
36,Mike,Sigeda,Mike Sigeda,Male,,,https://ui-avatars.com/api/?name=M+S&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
36,Robert,James,Robert James,Male,,,https://ui-avatars.com/api/?name=R+J&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
38,SAM,TOUIL,SAM TOUIL,Male,,,https://ui-avatars.com/api/?name=S+T&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
39,Adam,Kudryl,Adam Kudryl,Male,,,https://ui-avatars.com/api/?name=A+K&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
40,Jenz,Robinson,Jenz Robinson,Male,,,https://ui-avatars.com/api/?name=J+R&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
40,Reece,Yeomans,Reece Yeomans,Male,,,https://ui-avatars.com/api/?name=R+Y&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
42,Reece,Jones,Reece Jones,Male,,,https://ui-avatars.com/api/?name=R+J&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
43,Paul,Sherlock,Paul Sherlock,Male,,,https://athxgames.com/storage/profile-photos/s32sxVVhsovAsKk8EtDaZvzwcby2kIB0EsYG1Zoq.png,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
43,Martyn,Fallon,Martyn Fallon,Male,,,https://ui-avatars.com/api/?name=M+F&color=FFFFFF&background=000000,ATHX LIVERPOOL 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Strength,,,,,
