rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
1,Vanessa,Mazzarella,Vanessa Mazzarella,Female,,,https://ui-avatars.com/api/?name=V+M&color=FFFFFF&background=000000,ATHX BERLIN 2026,Germany 🇩🇪,2026,Female,ATHX Pro,Endurance,,,,2KM,3.127KM
2,Emma,Ray,Emma Ray,Female,,,https://ui-avatars.com/api/?name=E+R&color=FFFFFF&background=000000,ATHX BERLIN 2026,Germany 🇩🇪,2026,Female,ATHX Pro,Endurance,,,,2KM,2.976KM
3,Uli,Glöckner,Uli Glöckner,Female,Germany,,https://ui-avatars.com/api/?name=U+G&color=FFFFFF&background=000000,ATHX BERLIN 2026,Germany 🇩🇪,2026,Female,ATHX Pro,Endurance,,,,2.564KM,2.357KM
4,Luisa,Pfrommer,Luisa Pfrommer,Female,Germany,CF Calw,https://athxgames.com/storage/profile-photos/A9p95gNGIS0OYTWBbFdp3yAjDDqwQUr3WinD20yo.jpg,ATHX BERLIN 2026,Germany 🇩🇪,2026,Female,ATHX Pro,Endurance,,,,2.942KM,1.89KM
5,Sandra,Hegwein,Sandra Hegwein,Female,,,https://ui-avatars.com/api/?name=S+H&color=FFFFFF&background=000000,ATHX BERLIN 2026,Germany 🇩🇪,2026,Female,ATHX Pro,Endurance,,,,2.504KM,2.269KM
6,Maya,Halliday,Maya Halliday,Female,,,https://ui-avatars.com/api/?name=M+H&color=FFFFFF&background=000000,ATHX BERLIN 2026,Germany 🇩🇪,2026,Female,ATHX Pro,Endurance,,,,2.278KM,2.491KM
7,Finja,Thoroe,Finja Thoroe,Female,Germany,New Energy,https://ui-avatars.com/api/?name=F+T&color=FFFFFF&background=000000,ATHX BERLIN 2026,Germany 🇩🇪,2026,Female,ATHX Pro,Endurance,,,,1.971KM,2.797KM
8,Layla,Siebert,Layla Siebert,Female,,,https://ui-avatars.com/api/?name=L+S&color=FFFFFF&background=000000,ATHX BERLIN 2026,Germany 🇩🇪,2026,Female,ATHX Pro,Endurance,,,,2.279KM,2.401KM
9,Inga-Marie,Ganssauge,Inga-Marie Ganssauge,Female,,,https://ui-avatars.com/api/?name=I+G&color=FFFFFF&background=000000,ATHX BERLIN 2026,Germany 🇩🇪,2026,Female,ATHX Pro,Endurance,,,,2.343KM,2.313KM
10,Franziska,Kühlthau,Franziska Kühlthau,Female,,,https://ui-avatars.com/api/?name=F+K&color=FFFFFF&background=000000,ATHX BERLIN 2026,Germany 🇩🇪,2026,Female,ATHX Pro,Endurance,,,,2.466KM,2.153KM
