rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
1,Tobias Moos & Tina Dragutinovic-Moos,ATHX BERLIN 2026,Germany 🇩🇪,2026,Mixed,ATHX Lite,Overall,1 (653KG),1 (8.819KM),1 (12:07),,,,,,3
2,Justyna Niemczyk & Kacper Duc,ATHX BERLIN 2026,Germany 🇩🇪,2026,Mixed,ATHX Lite,Overall,4 (526KG),2 (8.677KM),2 (12:22),,,,,,8
3,Daniel Brandis & Benita-Francesca Teichmann,ATHX BERLIN 2026,Germany 🇩🇪,2026,Mixed,ATHX Lite,Overall,2 (583KG),6 (8.155KM),5 (13:36),,,,,,13
4,Amy Wake & Richard Marston,ATHX BERLIN 2026,Germany 🇩🇪,2026,Mixed,ATHX Lite,Overall,8 (483KG),4 (8.391KM),3 (12:45),,,,,,15
5,Rebecca Mengering & Heiko Weirauch,ATHX BERLIN 2026,Germany 🇩🇪,2026,Mixed,ATHX Lite,Overall,12 (455KG),3 (8.673KM),4 (13:14),,,,,,19
6,Constantin Jorde & Sandy Sorger,ATHX BERLIN 2026,Germany 🇩🇪,2026,Mixed,ATHX Lite,Overall,11 (456KG),9 (7.882KM),9 (14:53),,,,,,29
7,Vanja Lier & Johannes Hatz,ATHX BERLIN 2026,Germany 🇩🇪,2026,Mixed,ATHX Lite,Overall,15 (429KG),5 (8.193KM),10 (15:09),,,,,,30
7,Maren Kaspers & Frank Piotraschke,ATHX BERLIN 2026,Germany 🇩🇪,2026,Mixed,ATHX Lite,Overall,9 (478KG),15 (7.61KM),6 (13:54),,,,,,30
7,Paul-Louis Kuhnke & Josephine Schröder,ATHX BERLIN 2026,Germany 🇩🇪,2026,Mixed,ATHX Lite,Overall,10 (471KG),8 (7.935KM),12 (15:32),,,,,,30
7,Georgios Kanistras & Saskia-Alessandra Forkel,ATHX BERLIN 2026,Germany 🇩🇪,2026,Mixed,ATHX Lite,Overall,7 (491KG),12 (7.796KM),11 (15:23),,,,,,30
7,Florian Rüther & Pia Rüther,ATHX BERLIN 2026,Germany 🇩🇪,2026,Mixed,ATHX Lite,Overall,13 (438KG),10 (7.878KM),7 (14:22),,,,,,30
12,Anja Rausch & Marco Gravera,ATHX BERLIN 2026,Germany 🇩🇪,2026,Mixed,ATHX Lite,Overall,5 (520KG),14 (7.731KM),13 (16:07),,,,,,32
