rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
8,Robby Tabor & Melanie Tabor,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX Pro,Overall,9 (294KG),2 (17.625KM),8 (16:30),,,,,,19
9,Dan Foreman & Danielle Sargent,ATHX BERLIN 2025,Germany 🇩🇪,2025,Mixed,ATHX Pro,Overall,6 (338KG),9 (15.822KM),9 (18:38),,,,,,24
1,Franka Arendt & Svenja Herbert,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,04:50,,,,,,1
2,Laura Thomanek & Tamara Becker,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,13:09,,,,,,2
3,Alex Hipwell & Lena Sassano,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,13:42,,,,,,3
4,Michelle Krahnenfeld & Lina Michaelis,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,13:43,,,,,,4
5,Hanna Koms & Marlene Komes,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,14:24,,,,,,5
6,Holland Cathey & Isabell Grasnick,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,14:31,,,,,,6
7,Saskia Hauser & Kelley Griffiths,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,15:15,,,,,,7
8,Franziska Mews & Maria Agethen,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,15:21,,,,,,8
9,Alexandra Buschmann & Nancy Sellenthin,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,15:40,,,,,,9
10,Anne-Marie Hansen & Finja Thoroe,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,15:45,,,,,,10
11,Francisca Sommer & Josephin Haberlandt,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,16:12,,,,,,11
12,Tanima Frank & Maryna Kyrchun,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,16:33,,,,,,12
13,Vienna Oppie & Ann-Kathrin Burmann,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,16:35,,,,,,13
14,Franzi Rinke & Natalie Lang,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,16:37,,,,,,14
14,Sarah Wagner & Luisa Alfes,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,16:37,,,,,,14
16,Anja Kürzinger & Nina Gulde,ATHX BERLIN 2025,Germany 🇩🇪,2025,Female,ATHX,MetCon X,,,16:57,,,,,,16
