rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
318,Zach,Nash,Zach Nash,Male,United Kingdom,Fitness lab,https://ui-avatars.com/api/?name=Z+N&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.64KM,2.493KM
319,David,Molina Navarro,David Molina Navarro,Male,,,https://ui-avatars.com/api/?name=D+M+N&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.632KM
320,Damien,Lassalle,Damien Lassalle,Male,,,https://ui-avatars.com/api/?name=D+L&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.63KM
321,Danilo,Patraccone,Danilo Patraccone,Male,,,https://ui-avatars.com/api/?name=D+P&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.62KM
322,Kevin,Mamprin,Kevin Mamprin,Male,,,https://ui-avatars.com/api/?name=K+M&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.796KM,2.318KM
323,César,Machado,César Machado,Male,,,https://ui-avatars.com/api/?name=C+M&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.296KM,2.816KM
324,Joao,Fonseca,Joao Fonseca,Male,,,https://ui-avatars.com/api/?name=J+F&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,2.25KM,1.858KM
325,Raul,Rojo,Raul Rojo,Male,Spain,Crossfit RST Guinardo,https://athxgames.com/storage/profile-photos/ytkK8lXUiTJ3d5iWUOZBCip8V1mUHxQqHKxfz3Xi.jpg,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.603KM
326,Uri,Mulet,Uri Mulet,Male,,,https://ui-avatars.com/api/?name=U+M&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.599KM
327,Antonio,Martos,Antonio Martos,Male,,,https://ui-avatars.com/api/?name=A+M&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.598KM
328,Rubén,Martinez,Rubén Martinez,Male,,,https://ui-avatars.com/api/?name=R+M&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.591KM
329,Le Carval,Mael,Le Carval Mael,Male,France,,https://athxgames.com/storage/profile-photos/f1N8W7H5xKbzjJnFkzyB2BEHZ7yG3chgDKo8ueqb.jpg,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.89KM,2.195KM
330,Jesús,Castillo,Jesús Castillo,Male,,,https://ui-avatars.com/api/?name=J+C&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.52KM,2.564KM
331,Eduardo,Saiz Salvador,Eduardo Saiz Salvador,Male,,,https://ui-avatars.com/api/?name=E+S+S&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.565KM
332,Regaieg,Achraf,Regaieg Achraf,Male,,,https://ui-avatars.com/api/?name=R+A&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.562KM
332,Romain,Terrats,Romain Terrats,Male,France,,https://ui-avatars.com/api/?name=R+T&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,2.121KM,1.941KM
334,Amin,Sani,Amin Sani,Male,,,https://ui-avatars.com/api/?name=A+S&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.559KM
335,Sergio,Torralba,Sergio Torralba,Male,,,https://ui-avatars.com/api/?name=S+T&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,2.25KM,1.808KM
336,Andrea,Giuliani,Andrea Giuliani,Male,Italy,,https://ui-avatars.com/api/?name=A+G&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.545KM
336,Rubén,Flores,Rubén Flores,Male,,,https://ui-avatars.com/api/?name=R+F&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.545KM
338,Shaun,Ang,Shaun Ang,Male,,,https://ui-avatars.com/api/?name=S+A&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.52KM
339,Callum,Wishart,Callum Wishart,Male,,,https://ui-avatars.com/api/?name=C+W&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.514KM
340,Raphael,Guerin,Raphael Guerin,Male,,,https://ui-avatars.com/api/?name=R+G&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.979KM,2.033KM
341,Alexandre,Saillen,Alexandre Saillen,Male,,,https://ui-avatars.com/api/?name=A+S&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.515KM,2.477KM
342,Christophe,Abadie,Christophe Abadie,Male,,Team bear,https://ui-avatars.com/api/?name=C+A&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.489KM
343,Robert,Nicola,Robert Nicola,Male,Germany,CrossFit Wiesbaden,https://athxgames.com/storage/profile-photos/kl4jt3UQKdjiTAXugVtUilJn520oufvU7CdBQcqm.jpg,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.5KM,2.488KM
344,Jonathan,Bunel joly,Jonathan Bunel joly,Male,France,,https://ui-avatars.com/api/?name=J+B+j&color=FFFFFF&background=000000,ATHX BARCELONA 2026,Spain 🇪🇸,2026,Male,ATHX,Endurance,,,,1.64KM,2.341KM
