rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
26,Ed,Sirmbardis,Ed Sirmbardis,Male,,,https://ui-avatars.com/api/?name=E+S&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
26,Lewis,Hawkins,Lewis Hawkins,Male,,,https://ui-avatars.com/api/?name=L+H&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
26,Steven,Guthrie,Steven Guthrie,Male,United Kingdom,,https://ui-avatars.com/api/?name=S+G&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
26,Henri,Vincent,Henri Vincent,Male,,,https://ui-avatars.com/api/?name=H+V&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
26,Declan,Price,Declan Price,Male,,,https://ui-avatars.com/api/?name=D+P&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
26,Ieuan,McDonald,Ieuan McDonald,Male,,,https://ui-avatars.com/api/?name=I+M&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
26,Simon,Mooi,Simon Mooi,Male,,,https://ui-avatars.com/api/?name=S+M&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
35,Ash,Armstrong,Ash Armstrong,Male,,,https://athxgames.com/storage/profile-photos/rl7EqR7f48P3MNDC6wuo9QjXR0wM4zX0xVsC3yk7.jpg,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
35,Neil,Webb,Neil Webb,Male,,Strong Outdoor Fitness,https://ui-avatars.com/api/?name=N+W&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
37,Alfie,Burton,Alfie Burton,Male,,,https://ui-avatars.com/api/?name=A+B&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
37,Tim,Urch,Tim Urch,Male,,,https://ui-avatars.com/api/?name=T+U&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
39,Joe,Haley,Joe Haley,Male,,,https://ui-avatars.com/api/?name=J+H&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
39,Daniel,Savage,Daniel Savage,Male,,,https://athxgames.com/storage/profile-photos/S703W8ECb2oPDCx7gxdfeJagskgzP0Uk2C1T3bzx.jpg,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
39,Franco,Reina,Franco Reina,Male,,,https://athxgames.com/storage/profile-photos/doBqOfL8NfiTB7P12BAXx7jnlX1LA0ojK2c4WcuB.jpg,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
39,Tim,Ndekwe,Tim Ndekwe,Male,,,https://ui-avatars.com/api/?name=T+N&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
39,Reece,Kerley,Reece Kerley,Male,United Kingdom,TopNotch Gym,https://ui-avatars.com/api/?name=R+K&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
39,Matt,Ward,Matt Ward,Male,,,https://ui-avatars.com/api/?name=M+W&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
39,Conrad,Edmonds,Conrad Edmonds,Male,,,https://ui-avatars.com/api/?name=C+E&color=FFFFFF&background=000000,ATHX BIRMINGHAM 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Strength,,,,,
