rank,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row
75,Paul,Challoner,Paul Challoner,Male,United Kingdom,The Park.HQ,https://ui-avatars.com/api/?name=P+C&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
76,Callum,Cload,Callum Cload,Male,,,https://ui-avatars.com/api/?name=C+C&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
77,Sam,Cload,Sam Cload,Male,,,https://ui-avatars.com/api/?name=S+C&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
78,Ross,Baker,Ross Baker,Male,,,https://ui-avatars.com/api/?name=R+B&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
79,Steve,King,Steve King,Male,,,https://ui-avatars.com/api/?name=S+K&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
79,Joel,Morris,Joel Morris,Male,United Kingdom,ION Cardiff,https://ui-avatars.com/api/?name=J+M&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
81,Paul,Grattage,Paul Grattage,Male,,,https://ui-avatars.com/api/?name=P+G&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
82,Rob,Smith,Rob Smith,Male,,,https://ui-avatars.com/api/?name=R+S&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
83,chris,templeman,chris templeman,Male,,,https://ui-avatars.com/api/?name=c+t&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
84,Jamie,Ryan,Jamie Ryan,Male,United Kingdom,Fitness Pacific,https://ui-avatars.com/api/?name=J+R&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
85,Maximilian,Brandl,Maximilian Brandl,Male,,,https://ui-avatars.com/api/?name=M+B&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
86,Chris,Eales,Chris Eales,Male,,,https://ui-avatars.com/api/?name=C+E&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
87,Adam,James,Adam James,Male,,,https://ui-avatars.com/api/?name=A+J&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
88,Daniel,Mee,Daniel Mee,Male,,,https://ui-avatars.com/api/?name=D+M&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
89,Keagan,Taylor,Keagan Taylor,Male,South Africa,,https://ui-avatars.com/api/?name=K+T&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
90,Rob,Haselgrove,Rob Haselgrove,Male,United Kingdom,Market Town Crossfit + Leading Results Fitness,https://ui-avatars.com/api/?name=R+H&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
91,Josh,Singleton,Josh Singleton,Male,,,https://ui-avatars.com/api/?name=J+S&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
92,Liam,Eldridge,Liam Eldridge,Male,United Kingdom,Liam Eldridge,https://athxgames.com/storage/profile-photos/sgRVRv0WoiPH3i254Xv8JqQHIHvuoBE1iENxntmR.jpg,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
93,James,Lynch,James Lynch,Male,,,https://ui-avatars.com/api/?name=J+L&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
94,Marc,Ewers,Marc Ewers,Male,Germany,,https://ui-avatars.com/api/?name=M+E&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
95,Nathan,Morris,Nathan Morris,Male,United Kingdom,,https://ui-avatars.com/api/?name=N+M&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
96,Rob,King,Rob King,Male,,,https://ui-avatars.com/api/?name=R+K&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
97,Gavin,Denning,Gavin Denning,Male,,,https://ui-avatars.com/api/?name=G+D&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
98,Nicholas,Wade,Nicholas Wade,Male,United Kingdom,Inner Athlete,https://athxgames.com/storage/profile-photos/cE0ViJRlMoY87VI06xX7UFsS4FryI1gTQSP9twTI.jpg,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
99,Ben,Kimber,Ben Kimber,Male,,,https://ui-avatars.com/api/?name=B+K&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
100,David,Long,David Long,Male,United Kingdom,CrossFit Cirencester,https://athxgames.com/storage/profile-photos/LLTo8ypQJmJSVDZwi9zv9wripKRFgUkrnh4y0fcl.jpg,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
101,Russ,Wrigley,Russ Wrigley,Male,United Kingdom,,https://ui-avatars.com/api/?name=R+W&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
102,Callum,Phillips,Callum Phillips,Male,,,https://ui-avatars.com/api/?name=C+P&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
103,Max,Craven,Max Craven,Male,,,https://ui-avatars.com/api/?name=M+C&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
104,Scott,Castell,Scott Castell,Male,,,https://ui-avatars.com/api/?name=S+C&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
105,Noah,Callaghan,Noah Callaghan,Male,United Kingdom,ION Cardiff,https://ui-avatars.com/api/?name=N+C&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
106,Wayne,Thomas,Wayne Thomas,Male,,,https://ui-avatars.com/api/?name=W+T&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
107,Ross,Harding,Ross Harding,Male,,,https://ui-avatars.com/api/?name=R+H&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
108,David,Mcfarland,David Mcfarland,Male,,,https://ui-avatars.com/api/?name=D+M&color=FFFFFF&background=000000,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
109,Brett,McCall,Brett McCall,Male,,,https://athxgames.com/storage/profile-photos/3sNhNZ2NwarA0dI0APKGwP9RsGV2Z6B7VEfFu7Tk.jpg,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,Endurance,,,,,
