rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
2,Danielle Brandon & Cooper Marsh,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Endurance,,,,,,,5.28KM,5.304KM,2
3,Shereen Taljebini & Moe Romero,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Endurance,,,,,,,4.589KM,5.707KM,3
4,Sebastian Dayoub & sarah guzman,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Endurance,,,,,,,4.421KM,5.205KM,4
5,Fady Issa & Andrea Hernandez,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Mixed,ATHX Pro,Endurance,,,,,,,4.419KM,4.765KM,5
1,Justin Tapper & Bryan Stewart,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,195KG,380KG,420KG,,,1
2,Danny Tuckerman & Eddy Rivero,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,170KG,340KG,380KG,,,2
3,Patrick Sprague & Kevin Koester,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,120KG,320KG,382KG,,,3
4,Leandro Ferrari & Levi Cox,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,150KG,300KG,340KG,,,4
5,Corbin Mims & Sean schieppati,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,80KG,305KG,340KG,,,5
6,Anthony Rice & Kenny Santucci,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,135KG,250KG,325KG,,,6
7,Simon Bratke & lauri.schwitalla Team,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,160KG,220KG,295KG,,,7
8,Marco Maraschin & Guillermo Pons,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,120KG,240KG,290KG,,,8
9,Simon Serna & Edgar Guerrero,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,130KG,205KG,310KG,,,9
10,Pedro Leyva & Leandro Boucourt,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,135KG,240KG,260KG,,,10
11,Bryan Quintanilla & Alejandro Guerrero,ATHX INVITATIONAL MIAMI BEACH,United States 🇺🇸,2026,Male,ATHX,Strength,,,,125KG,200KG,300KG,,,11
